umpire,country
Asad Rauf,Pakistan
RE Koertzen,South Africa
MR Benson,England
SL Shastri,India
GA Pratapkumar,India
SJ Davis,Australia
DJ Harper,Australia
BF Bowden,New Zealand
K Hariharan,India
IL Howell,South Africa
AM Saheba,India
BR Doctrove,West Indies
RB Tiffin,Zimbabwe
AV Jayaprakash,India
I Shivram,India
BG Jerling,South Africa
SJA Taufel,Australia
SD Ranade,India
M Erasmus,South Africa
TH Wijewardene,Sri Lanka
HDPK Dharmasena,Sri Lanka
SK Tarapore,India
S Asnani,India
GAV Baxter,Australia
SS Hazare,India
NJ Llong,England
AY Dandekar,India
A Nand Kishore,India
Nitin Menon,India
CK Nandan,India
AK Chaudhary,India
C Shamshuddin,India
KN Ananthapadmanabhan,India
CB Gaffaney,New Zealand
A Deshmukh,India
YC Barde,India
VK Sharma,India
